★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Type / polarity,Anode site,Cathode / ref site,Current (mA),Electrode size (cm²),Current density (mA/cm²),t / min,N sessions,Results:  positive ☺ / modest ☺ / null ☹  ↑ ↓ →  (conclusions),Link,Additional info,Comment,Reply,Additional info (2)
,Addiction / craving,Alcohol,,Vitor de Souza Brangioni,Brazil,2018,Alcohol Alcohol,Repeated bilateral DLPFC tDCS in alcohol dependence,RCT,Cognition/relapse,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,5,☺ (modest) ↑ cognition / craving change,https://pubmed.ncbi.nlm.nih.gov/?term=Vitor%20de%20Souza%20Brangioni%202018%20tDCS,"UNVERIFIED — Alcohol Alcohol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Epilepsy,Refractory (RCT),,Karvigh,Iran,2017,Epilepsy Behav,Cathodal tDCS for refractory epilepsy (sham-controlled),RCT,Multiple sessions,Cathodal,Epileptogenic focus,Contralateral,2,35,0.057,20,5,☺ ↓ seizure frequency,https://pubmed.ncbi.nlm.nih.gov/?term=Karvigh%202017%20tDCS,"UNVERIFIED — Epilepsy Behav full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Epilepsy,Temporal lobe,,Zoghi,Australia,2016,Epilepsia Open,Cathodal tDCS for drug-resistant temporal-lobe epilepsy (pilot),RCT,Pilot,Cathodal,Temporal focus,Contralateral,1,35,0.029,20,—,☺ (modest) ↓ seizures/discharges,https://pubmed.ncbi.nlm.nih.gov/?term=Zoghi%202016%20tDCS,"UNVERIFIED — Epilepsia Open full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,ADHD,Sleep/slow-osc,,Munz,Germany,2015,Front Cell Neurosci,Slow-oscillating tDCS in sleep improves memory/behaviour in ADHD children,Crossover,so-tDCS in SWS,Anodal (oscillating),Bilateral frontal,Mastoids,0.517,—,—,—,1,☺ ↑ memory; ↓ inattention next day,https://pubmed.ncbi.nlm.nih.gov/?term=Munz%202015%20tDCS,"UNVERIFIED — Front Cell Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,ADHD,WM (children),,Sotnikova,Germany,2017,Brain Topogr,Anodal DLPFC tDCS improves WM & EEG in ADHD children,Crossover,EEG markers,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,1,☺ ↑ WM; modulated theta/alpha,https://pubmed.ncbi.nlm.nih.gov/?term=Sotnikova%202017%20tDCS,"UNVERIFIED — Brain Topogr full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Autism,Behaviour (large),,Gómez,Cuba,2017,Brain Stimul,Anodal left-DLPFC tDCS in children with autism (large sample),Controlled,Large cohort,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,20,☺ ↓ autism-symptom scores,https://pubmed.ncbi.nlm.nih.gov/?term=G%C3%B3mez%202017%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Tinnitus,Auditory cortex,,Vanneste,Belgium,2011,Neurosci Lett,Auditory-cortex tDCS for tinnitus (an/cathodal),Crossover,Temporoparietal target,Anodal & cathodal,Auditory cortex (temporoparietal),Contralateral,1.5,35,0.043,—,1,☺ (modest) Transient suppression in subset,https://pubmed.ncbi.nlm.nih.gov/?term=Vanneste%202011%20tDCS,"UNVERIFIED — Neurosci Lett full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Tinnitus,Bifrontal (RCT),,Forogh,Iran,2016,Neurol Sci,Bifrontal tDCS reduces tinnitus loudness/annoyance,RCT,5 sessions,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,5,☺ ↓ tinnitus loudness & annoyance,https://pubmed.ncbi.nlm.nih.gov/?term=Forogh%202016%20tDCS,"UNVERIFIED — Neurol Sci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,MCI,Training,,Lu,China,2019,Brain Stimul,Anodal DLPFC tDCS + cognitive training in amnestic MCI,RCT,Combined,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,10,☺ ↑ cognition vs training-alone,https://pubmed.ncbi.nlm.nih.gov/?term=Lu%202019%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Alzheimer's / dementia,Follow-up,,Khedr,Egypt,2019,Neurophysiol Clin,Repeated anodal DLPFC tDCS in AD (extended follow-up),RCT,Extended course,Anodal,Left DLPFC (F3),Contralateral supraorbital,2,35,0.057,20,10,☺ ↑ cognition; benefit persisted,https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202019%20tDCS,"UNVERIFIED — Neurophysiol Clin full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Multiple sclerosis,Pain,,Ayache,France,2016,Eur J Pain,Anodal M1 tDCS reduces chronic pain in multiple sclerosis,Crossover (n=16),MS neuropathic pain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,3,☺ ↓ pain vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Ayache%202016%20tDCS,"UNVERIFIED — Eur J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Multiple sclerosis,Fatigue (null),,Hanken,Germany,2016,Front Neurol,Anodal parietal tDCS for MS fatigue (no benefit),RCT,Valid negative,Anodal,Parietal cortex,Contralateral,1,35,0.029,—,—,☹ No significant fatigue reduction,https://pubmed.ncbi.nlm.nih.gov/?term=Hanken%202016%20tDCS,"UNVERIFIED — Front Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Dysphagia (stroke),Subacute (RCT),,Pingue,Italy,2018,Dysphagia,Bihemispheric pharyngeal tDCS for severe post-stroke dysphagia,RCT (n=40),Bilateral,Anodal (bilateral),Bilateral pharyngeal motor cortex,—,2,—,—,30,10,☺ ↑ swallowing vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Pingue%202018%20tDCS,"UNVERIFIED — Dysphagia full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,OCD,Home RCT,,Fineberg,UK,2023,Compr Psychiatry,Home-based tDCS for OCD (feasibility RCT),RCT,Home; OFC/SMA,Cathodal,OFC / pre-SMA,Contralateral,2,35,0.057,20,—,☺ Feasible; ↓ symptoms in subset,https://pubmed.ncbi.nlm.nih.gov/?term=Fineberg%202023%20tDCS,"UNVERIFIED — Compr Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,PTSD,DLPFC RCT,,Ahmadizadeh,Iran,2018,Brain Res Bull,Anodal/dual DLPFC tDCS for combat-related PTSD,RCT (n=90),Larger PTSD RCT,Anodal,Right DLPFC (F4),Left DLPFC,2,35,0.057,20,10,☺ ↓ PTSD symptoms vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Ahmadizadeh%202018%20tDCS,"UNVERIFIED — Brain Res Bull full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Traumatic brain injury,Cognition,,Lesniak,Poland,2014,J Head Trauma Rehabil,Anodal DLPFC tDCS + cognitive rehab after TBI,RCT (n=23),Cognitive rehab adjunct,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,10,15,☹/☺ ↑ some attention measures; modest overall,https://pubmed.ncbi.nlm.nih.gov/?term=Lesniak%202014%20tDCS,"UNVERIFIED — J Head Trauma Rehabil full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
